# base64_utf8_original	base64_utf8_russian
TmFub2NoZXN0	0J3QsNC90L7RhdGA0LDQvdC40LvQuNGJ0LU=
TWVjaCBCb29zdGVy	0JHRg9GB0YLQtdGAINC80LXRhdCw0L3QvtC40LTQvtCy
T2JlbGlzayAoR2VuKQ==	0J7QsdC10LvQuNGB0LogKNC+0YHQvS4p
T2JlbGlzayAoVGd0KQ==	0J7QsdC10LvQuNGB0LogKNGG0LXQu9C4KQ==
T2JlbGlzayAoQWR2KQ==	0J7QsdC10LvQuNGB0LogKNC00L7Qvy4p
TWlzYw==	0J/RgNC+0YfQtdC1
U2V0dGluZ3M=	0J3QsNGB0YLRgNC+0LnQutC4
UmVzZXQgRGVmYXVsdHM=	0KHQsdGA0L7RgdC40YLRjA==
QWxsIHNldHRpbmdzIHJlc2V0IHRvIGRlZmF1bHRzLg==	0JLRgdC1INC90LDRgdGC0YDQvtC50LrQuCDRgdCx0YDQvtGI0LXQvdGLINC/0L4g0YPQvNC+0LvRh9Cw0L3QuNGOLg==
QXBwbHkgQ2hhbmdlcyAoVXBkYXRlIERlZnMp	0J/RgNC40LzQtdC90LjRgtGMINC40LfQvNC10L3QtdC90LjRjw==
U2V0dGluZ3MgQXBwbGllZCB0byBEZWZzIQ==	0J3QsNGB0YLRgNC+0LnQutC4INC/0YDQuNC80LXQvdC10L3RiyDQuiDQtNC10YTQsNC8IQ==
TmFub2NoZXN0IFN0b3JhZ2U=	0JLQvNC10YHRgtC40LzQvtGB0YLRjCDQvdCw0L3QvtGF0YDQsNC90LjQu9C40YnQsA==
TWF4IEl0ZW1zIHBlciBDZWxsICgxLTk5OTkpOg==	0JzQsNC60YEuINC/0YDQtdC00LzQtdGC0L7QsiDQsiDRgdGC0L7Qv9C60LUgKDEtOTk5OSk6
SWYgaXQgZG9lc24ndCB3b3JrIHJpZ2h0IGF3YXksIHRyeSBzYXZpbmcgYW5kIGxvYWRpbmcgeW91ciBnYW1lLg==	0JXRgdC70Lgg0L3QtSDRgdGA0LDQsdC+0YLQsNC10YIg0YHRgNCw0LfRgywg0YHQvtGF0YDQsNC90LjRgtC1INC4INC30LDQs9GA0YPQt9C40YLQtSDQuNCz0YDRgy4=
TWVjaCBCb29zdGVyIFNldHRpbmdz	0J3QsNGB0YLRgNC+0LnQutC4INCx0YPRgdGC0LXRgNCwINC80LXRhdCw0L3QvtC40LTQvtCy
UmFuZ2UgKE1heCA3OS44KTo=	0KDQsNC00LjRg9GBICjQvNCw0LrRgS4gNzkuOCk6
U2NhbiBJbnRlcnZhbCAoVGlja3MpOg==	0JjQvdGC0LXRgNCy0LDQuyDRgdC60LDQvdC40YDQvtCy0LDQvdC40Y8gKNGC0LjQutC4KTo=
TGluZ2VyIFRpY2tzOg==	0JLRgNC10LzRjyDRg9C00LXRgNC20LDQvdC40Y8gKNGC0LjQutC4KTo=
QWZmZWN0IE5vbi1Ib3N0aWxlIEFsbGllcw==	0JfQsNGC0YDQsNCz0LjQstCw0YLRjCDQvdC1INCy0YDQsNC20LTQtdCx0L3Ri9GFINGB0L7RjtC30L3QuNC60L7Qsg==
VGhlIE9iZWxpc2sgKEJhc2UgU3RhdHMp	0J7QsdC10LvQuNGB0LogKNCx0LDQt9C+0LLRi9C1INC/0LDRgNCw0LzQtdGC0YDRiyk=
UmFkaXVzIChNYXggNzkuOCk6	0KDQsNC00LjRg9GBICjQvNCw0LrRgS4gNzkuOCk6
