# base64_utf8_original	base64_utf8_russian
QWxs	0JLRgdC1
QnV5	0JrRg9C/0LjRgtGM
SGl0	0JLQt9GP0YLRjCDQutCw0YDRgtGD
T2Zm	0JLRi9C60Lsu
QmFjaw==	0J3QsNC30LDQtA==
RGVhbA==	0KDQsNC30LTQsNGC0Yw=
RG9jaw==	0KHRgtGL0LrQvtCy0LrQsA==
RXhpdA==	0JLRi9GF0L7QtA==
Rm9sZA==	0KHQsdGA0L7RgdC40YLRjA==
R2Vhcg==	0KHQvdCw0YDRj9C20LXQvdC40LU=
IEhpdC4=	INCf0L7Qv9Cw0LTQsNC90LjQtQ==
QWJvcnQ=	0J/RgNC10YDQstCw0YLRjA==
QmFyIE0=	0JHQsNGAIE0=
QmF5IDc=	0J7RgtGB0LXQuiA3
QmV0IDA=	0KHRgtCw0LLQutCwIDA=
Qm9hcmQ=	0J3QsCDQsdC+0YDRgg==
Q2FsbCA=	0KPRgNCw0LLQvdGP0YLRjCA=
Q2hlY2s=	0KfQtdC6
Q2xvc2U=	0JfQsNC60YDRi9GC0Yw=
Q3JhcHM=	0JrRgNGN0L/RgQ==
RW50ZXI=	0JLQvtC50YLQuA==
UG9rZXI=	0J/QvtC60LXRgA==
UmVzZXQ=	0KHQsdGA0L7RgQ==
U3RhbmQ=	0J7RgdGC0LDRgtGM0YHRjw==
VHJhZGU=	0KLQvtGA0LPQvtCy0LDRgtGM
YnVzdC4=	0LHRjtGB0YIu
aGl0cy4=	0L/QvtC/0LDQtNCw0L3QuNGPLg==
IE1pc3Mu	INCe0YLRgdGD0YLRgdGC0LLRg9C10YI=
IGZhcm0h	INGE0LXRgNC80LAh
LCBhbmQg	0Lgg
QWNjZXB0	0J/RgNC40L3Rj9GC0Yw=
QWxsIGlu	0JLRgdC1INCy
QXR0YWNr	0JDRgtCw0LrQsA==
Q2FuY2Vs	0J7RgtC80LXQvdCw
RGVhbCAg	0KHQtNC10LvQutCwICA=
RmxvcDog	0KTQu9C+0L86IA==
SGFuZCAj	0KDRg9C60LAg4oSW
Tm8gcGF5	0J3QuNC60LDQutC+0Lkg0L7Qv9C70LDRgtGL
